,Aula,Categoria,Prof/Aluno,Nome,Link Site Br.ino,Link Direcionado,Status,Obs
2,10,Link,Professor,Caminhão com Brastoy,https://brino.cc/EFAI/2_10/caminhao,https://docs.google.com/presentation/d/1V8bLSmMIVW5UqHxgv_h7YRyGYu3jjJFelGdfeK_q0yk/edit?usp=sharing,Feito,
2,10,Projeto com Edison,Aluno,Montagem do Edison Faixa de concientização ,https://brino.cc/EFAI/2_10/faixa ,,Fazer,
3,10,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_10/aula,,Fazer,
4,10,Video interno,Professor,Resumo da aula 10,https://brino.cc/EFAI/4_10/aula,,Fazer,
4,10,Link,Professor,Tradutor de braille,https://brino.cc/EFAI/4_10/braille,https://www.tradutorbraille.com.br/,Feito,
5,10,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_10/aula ,,Fazer,Gravar
5,10,Vídeo,Professor,saber mais sobre a  sonda Curiosity,https://brino.cc/EFAI/5_10/sonda,https://www.youtube.com/watch?v=b9rr0H61iZI,Feito,
1,11,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_11/aula,,Fazer,Gravar
1,11,Animação Brastoy,Aluno,Montagem robô das emoções,https://brino.cc/EFAI/1_11/robo,,Fazer,
1,11,Link,Aluno,Animated Drawing,https://brino.cc/EFAI/1_11/ani,https://sketch.metademolab.com/canvas,Fazer,
2,11,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_11/aula,,Fazer,
2,11,Link,Aluno,Jogo do Linx no W3School,https://brino.cc/EFAI/2_11/jogo,https://www.w3schools.com/codegame/,Fazer,
2,11,Link,Professor,Gabarito do Jogo do Linx no W3School,https://brino.cc/EFAI/2_11/gab,,Fazer,
2,11,Link,Aluno,Arquivo base do jogo do resgate no incendio ,https://brino.cc/EFAI/2_11/octo,,Fazer,
3,11,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_11/aula,,Fazer,
3,11,Plataforma,Aluno,Jogo no octoStudio de correr na muralha,https://brino.cc/EFAI/3_11/jogo,,Fazer,
4,11,Video interno,Professor,Resumo da aula 11,https://brino.cc/EFAI/4_11/aula,,Fazer,
4,11,Edison,Aluno,Montagem do EdTank - Esteiras,https://brino.cc/EFAI/4_11/tanque,,Fazer,
4,11,Edison,Aluno,Montagem do EdTank - Lançador de cabos,https://brino.cc/EFAI/4_11/lanca,,Fazer,
5,11,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_11/aula ,,Fazer,Gravar
5,11,Link,Aluno,Blockly Games - Turtle/Tartaruga,https://brino.cc/EFAI/5_11/tarta,https://blockly.games/turtle?lang=pt-br,Feito,
5,11,Link,Professor,Gabarito Blockly Games - Turtle/Tartaruga,https://brino.cc/EFAI/5_11/gab,https://brino.cc/EFAI/5_11/Gabarito%20blockly%20tartaruga.pdf,Feito,Melhorar PDF (Preliminar online)
1,12,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_12/aula,,Fazer,Gravar
1,12,Video Externo/Interno,Aluno,Manual para montar o personagem quadrado que dança,https://brino.cc/EFAI/1_12/per,,Fazer,
1,12,Animação Brastoy,Aluno,Manual da roda gigante,https://brino.cc/EFAI/1_12/roda,,Fazer,
2,12,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_12/aula,,Fazer,
2,12,Link,Aluno,Interland,https://brino.cc/EFAI/2_12/Interland ,https://beinternetawesome.withgoogle.com/pt-br_br/interland/,Fazer,
2,12,Link,Aluno,Plataforma Makey Makey de desenho,https://brino.cc/EFAI/2_12/chave,https://apps.makeymakey.com/play/#make-a-sketch,Fazer,
3,12,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_12/aula,,Fazer,
3,12,Link,Aluno,Jogo sobre cibersegurança,https://brino.cc/EFAI/3_12/jogo,https://view.genially.com/67d1a0e2438a16e7f98b4559/interactive-content-ciberseguranca,Fazer,
3,12,Animação Brastoy,Aluno,Montagem do rolo compressor,https://brino.cc/EFAI/3_12/rolo,https://docs.google.com/presentation/d/1V7G2IKGjD5KNMHe1dvbBeP5fbMpdAw1CNMZ1HiZIXso/edit?usp=sharing,Fazer,
4,12,Video interno,Professor,Resumo da aula 12,https://brino.cc/EFAI/4_12/aula,,Fazer,
4,12,Projeto com Edison,Aluno,Montagem do Edison Rapel,https://brino.cc/EFAI/4_12/rapel,,Fazer,
4,12,Link,Aluno,Plataforma Compute It,https://brino.cc/EFAI/4_12/comp,https://compute-it.toxicode.fr/,Feito,
5,12,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_12/aula ,,Fazer,Gravar
5,12,Link,Professor,Material complementar sobre cyberbullying,https://brino.cc/EFAI/5_12/cyber ,,Fazer,
5,12,Link,Aluno,Jogo Genially  - Internet Segura,https://brino.cc/EFAI/5_12/segura,https://view.genially.com/671925473f0911dcb20f7e8a/interactive-content-te,Feito,Montar perguntas do jogo
5,12,Link,Aluno,Interland,https://brino.cc/EFAI/5_12/Interland,https://beinternetawesome.withgoogle.com/pt-br_br/interland/,Feito,
5,12,Link,Aluno,Interland,https://brino.cc/EFAI/5_12/interland,https://beinternetawesome.withgoogle.com/pt-br_br/interland/,Feito,
1,13,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_13/aula,,Fazer,Gravar
1,13,Animação Brastoy,Aluno,Manual da máquina de debulhar milho,https://brino.cc/EFAI/1_13/milho,,Fazer,
2,13,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_13/aula,,Fazer,
3,13,Animação Brastoy,Aluno,Montagem do relogio,https://brino.cc/EFAI/3_13/relogio ,https://docs.google.com/presentation/d/1BdHMYTZaA4y5e-YB-RAs7UGDc5-0kzjvY1KyydhzqX4/edit?usp=sharing,Fazer,
3,13,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_13/aula,,Fazer,
3,13,Vídeo,Professor,Conheça Petra,https://brino.cc/EFAI/3_13/petra,https://www.youtube.com/watch?v=nM7LuO1vsqg,Fazer,
4,13,Video interno,Professor,Resumo da aula 13,https://brino.cc/EFAI/4_13/aula,,Fazer,
4,13,Projeto com Edison,Aluno,Montagem do Edison Alarme (garra e detector),https://brino.cc/EFAI/4_13/alarme,,,
5,13,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_13/aula ,,Fazer,Gravar
5,13,Link,Professor,Músicas da sonda Voyager,https://brino.cc/EFAI/5_13/mus,https://science.nasa.gov/mission/voyager/golden-record-contents/sounds/,Feito,
5,13,Link,Aluno,Musical Canvas (google arts and culture),https://brino.cc/EFAI/5_13/music,https://artsandculture.google.com/experiment/musical-canvas/6AF2kMdrQhI4tQ?hl=en,Feito,
